text,label,,
"seneng banget ko Leo bisa rendah hati gitu, semoga selalu dilancarkan dalam setiap hal ko Leo, semoga berkatnya melimpah terus buat ko Leo, orang baik <U+2764><U+0001F917>",2,,
"Yuk manteman kita donasi untuk pak diamus. Sebesar atau apapun donasinya itu berharga sekali, sangat2 bermanfaat <U+0001F917> insaallah bakal d bales sama tuhan apa yang sudah kita lakukan. Bisa d chek di ig nya lele buat donasinya okee <U+0001F44C>",2,,
Damianus kak,1,,
Bukannya Damianus <U+0001F64F>,1,,
"Seneng banget dengernya kalo orang timur pake ""toh"" dan ""kah"" di akhir kalimatnya... 
Semangat memberikan konten konten yang positif  le..",2,,
"nyesek juga sih bang.... aku yang pernah sekolah di manggarai barat merasa bangga karena bisa sampai dengan saat ini mampu jauh dari orang tua dan hidup mandiri sedari smp.
minim fasilitas semoga melahirkan orang hebattttt.

respect bang!!!",1,,
"Salut banget sama temen-temen di sana, buat belajar perjuangannya bener2 ga mudah. Dari sini bener2 banyak bersyukur dan terima kasih ko udah membagikan ini, semoga temen-temen di sana bisa mendapat fasilitas yg lebih baik nantinya. Doa terbaik<U+0001F64F><U+0001F97A>",2,,
"Semoga bapaknya bisa dapat rezeki yg banyak, dan diberikan kesehatan selalu..
Dan yang sudah berdonasi, semoga tuhan membalas kebaikan kalian..
Aminn...",2,,
"Suka bgt sm konten gini. Seneng bgt liat ko Leo bisa dipakai Tuhan sebagai perantara berkat untuk beliau. Sukses terus ko<U+0001F62D><U+2764><U+FE0F> semoga selalu bisa rendah hati dan selalu diberkati untuk memberkati orang lain. Gbu

Semoga pak Damianus juga sehat selalu dan dilancarkan rezekinya<U+0001F970>",2,,
"Semangat sekolahnya teman teman , banyakin bersyukur dan rajinlah belajar agar jadi orang yg sukses",2,,
"Aku juga jadi tergerak untuk semangat belajar, merasa banyak fasilitas yang aku dapat tapi masih malas-malasan. Haduh aku. Semangat aku! 

Salut sama ko Leo, Indonesia butuh orang-orang yang bisa menggerakkan banyak jiwa seperti kamu. Semoga dimudahkan dalam hal-hal baik ko!",2,,
Sama banget yaampun dikasih fasilitas yg udah mumpuni bahkan bagus tapi akunya malah males-malesan<U+0001F62D> yuk semangat buat jadi pribadi yg lebih baik lagi!,2,,
<U+0001F62D><U+0001F62D>,0,,
@Inggit Safitri˜ yok bisa yok<U+0001F601><U+0001F366>,0,,
@Ajeng Yuliann˜ emojinya itu respon terhadap komentar saya apa lope dari ko Leo? <U+0001F92D><U+0001F366>,1,,
@Nuriel Aida˜ wkwk<U+0001F62D><U+0001F62D>,0,,
orang bermanfaat ga akan merugikan diri sendiri. SEMANGAT BANG LELE !!!!,2,,
Bang Lele,0,,
TETAP JAGA KESEHATAN LELE<U+0001F600><U+0001F600><U+0001F44D><U+0001F3FC>,2,,
Namanya jadi ikan donk,0,,
Lele?<U+0001F62D>,0,,
@Neve_lix˜ lele edwin wkwkw,0,,
"Selalu menangis liat keadaan saudara2 kita di Indonesia Bagian Timur..
Bahkan untuk sekolah yg layak saja susah,,
Padahal di UUD sangat jelas pemerintah harus menyediakan fasilitas yg layak untuk seluruh rakyat Indonesia..

Sa yakin kamu samua bisa jadi orang sukses di jakarta..
Jang ada lagi rasisme diantara kita..
Kitorang samua Basudara..
Katong yakin kamu samua pintar2 hanya fasilitas yg tak memadai..

Sa berani taruhan 1 orang Timur bisa kalahkan 10 orang di ibukota dalam kecerdasan..

Jang lagi anggap remeh anak2 timur..

Thanks juga bapak su kasi tempat asrama buat dorang adek2 mo sekolah jauh dari rumah..
Dgn harga yg cukup murah..

Kami akan bantu sebisa kami buat donasi sedikit untuk melengkapi fasilitas asrama bapa..

Salam hormat Bapa..
Thanks leo yg selalu kasi inspirasi buat bangsa ini..",2,,
"Betul sekali. Walaupun fasilitas agak kurang, tapi karena semangat nya tinggi, jangan kan 1 orang timur bisa ngalahin 10 orang di Jakarta. Mungkin 100 orang pun bisa",,,
"Kagum banget aku sama sifat leo yg rendah hati,  sopan,  mudah tergerak hatinya.. Semoga Tuhan selalu melindungi kamu yaa lee, untuk bapak daimanus juga.. Sukses kedepannya untuk kamu lee",,,
"Semoga dengan ada nya video ini
Kita bisa intropeksi diri kita sendiri
Yang tadi nya malas belajar jadi semangat, yang tadi nya bolos sekolah online jadi ga bolos lagi.. 
Mereka dengan fasilitas sangat sederhana bisa mendapat kan ranking, SEDANGKAN KITA YANG MENDAPATKAN FASILITAS LEBIH LAYAK DARI MEREKA MASA KITA GA A DAPET RANKING? 
, AYO SEMANGAT BELAJAR NYA YA GESSS<U+0001F525><U+0001F525><U+0001F525> SAYA PERCAYA SEMUANYA AKAN INDAH PADA WAKTUNYA. YO DI SHARE... <U+0001F64F><U+0001F44D><U+0001F44D>",,,
kalo masalah rangking beda2 broo,1,,
"bener bener jadi motivasi banget buat aku, harus lebih banyak bersyukur, mereka disana dengan fasililitas yang kurang tapi tetap punya semangat yang tinggi untuk ngejar cita cita mereka.. :) salut banget sama pelajar disana dan sama kak leo jugaa",2,,
"Maaf ya kak Leo aku belum bisa berdonasi karena aku belum punya rekening tabungan/bank 
Aku pun masih SD tapi aku sangat ingin membatu.....

Aku hanya bisa do'a yg terbaik untuk pak Damianus dan ,asramanya agar bisa mendapatkan donasi yg cukup...

Dan agar fasilitas nya lebih baik lagi dan juga agar asrama nya bisa lebih nyaman lagi 

Aamiin..
Salam dari Jakarta..",2,,
Hah sd kelas berapa nih hyung,1,,
@ih wibu˜ kelas 6,0,,
"Inilah seharusnya tugas conten creator, membantu masyarakat dan menyebarkan serta mengedukasi dalam hal positif",2,,
setujuuuu,1,,
Semoga lele tetep menebar manfaat buat lingkungan dan menginspirasi. Jangan bosen buat rendah hati dan jadi orang baik ya le. Kita support kamuu. Sehat selalu buat Pak Damianus dan Lele <U+2764><U+FE0F>,2,,
"Saya sebagai orang NTT merasa senang, banyak dari kawan2 semua yg peduli dengan kami disini<U+0001F64F><U+0001F64F><U+0001F64F>
Terimakasih ka Leo<U+0001F64F><U+0001F64F>
God bless you <U+0001F607><U+0001F607>",1,,
"Salut bangtt sama ko leo, thank you ko udah open donasinya, selalu rendah hati yaa ko, semoga ko le selalu di lancarkan dalam segala urusan yaa koo, tetap jaga kesehatan koo<U+2764><U+FE0F>

Dan buat bapak damianus semoga selalu dilancarkan juga rezeki nyaa, semoga anak-anak asrama bapak damianus menjadi anak anak yg hebat nantinyaa.",2,,
"Baru kali iki aku liat gaya ama nada bicaranya ko leo sama, mirip bangetttttt sama papah nya koko, berwibawa bgttt gitu <U+0001F97A>",2,,
"Le, misalnya donasi melebihi target (aamiin). Aku minta tolong ya tempat mandi mereka dikasih dinding<U+0001F62D>",2,,
setuju<U+0001F62D>,1,,
"Welcome to Labuan Bajo<U+0001F607>
Thankyou sudah menampilkan sisi ini, sisi yg jarang terlihat dari Labuan Bajo. Karena selama ini yg ditampilkan hanya tentang keindahan destinasi wisatanya saja sehingga hal2 lain seperti pendidikan ini tidak terlihat.
Thankyou kak  Leo<U+0001F64F><U+0001F607>
GBU<U+0001F607>",2,,
Bisa-bisanya masih sempat ngejawab suara ayam hahaha. Semangat terus bang Leo,1,,
"Sungguh mulia niat lele,lanjutkan lele.
Om selalu hadir di disetiap episode youtube lele.mudah2an lele semakin sukses...
Om dr padang akan membantu ...
Puji Tuhan",2,,
"Le, mau nanya ini terakhir donasi kapan Le? 
Tanggal brp.. 
InsyaAllah aku mau donasi.. 
Pengen menyisihkan uang jajan.. <U+0001F62D><U+0001F625><U+0001F61E><U+0001F62D>",2,,
"ikut terharu<U+0001F97A><U+0001F497>
semoga dana yg kekumpul cukup byk, agar renovasi""nya jg bisa terbutuhi sepenuhnya. Amin<U+2764><U+FE0F>",2,,
"Jerome Polin      : Menteri Pendidikan
Leonardo Edwin : Menteri Sosial",2,,
"Aku ngerasa Tersindir sebagai orang yang suka males malesan. God bless ko!! Semoga kedepannya ada lagi konten"" kayak gini aamiin",1,,
"Semangat kak lele..
Bikin vlognya yg semangat lagi ya kak lele<U+2728><U+2728>
Konten kali ini bikin haru<U+2728><U+2728><U+0001F62D>",2,,
"KAGET BANGET KO LEO UPLOAD JAM SEGINI, ADA NOTIF AUTO PENCET WKWK
SEHAT SELALU DAN TETEP JAGA KESEHATAN KO, SEMANGAT NGONTEN",2,,
Terimakasih brother sdah berkunjung ke Flores Island,2,,
"Kerennnn Leeee<U+0001F525><U+0001F525>,Semoga Jadi inspirasi Kami dan anak muda Lain nya di Indonesia <U+0001F64F><U+0001F64F>",2,,
terima kasih ko telah menjadi perantara berkat bagi sesama. semoga donasi bisa mencapai target dan bisa berguna. amin,2,,
So proud of you le<U+2764><U+FE0F>,2,,
"Salut buat Kak Leo. Terima kasih byk .. GBU :)
#Iklannya jgn diskip ya manteman :)",2,,
Semoga calon mentri pendidikan dan kita semua terketuk untuk membantu <U+0001F64F>,2,,
"Aku yg udah dikasih fsilitas yg sangat layak, tapi males malesan belajar<U+0001F62D>",1,,
keep inspiring Le! God bless you,2,,
"""sedikit demi sedikit lama2 menjadi bukit""",2,,
Sebagai orang ntt senang banget lele ke ntt,2,,
Ini asrama ya kami<U+0001F602><U+0001F602>,,,
Sebagai anak NTT aku bangga kamu punya kepedulian yang tinggi Dan rendah hati.. GBU bruh,2,,
"Le, mau nanya ini terakhir kapan Le? 
Tanggal brp.. 
InsyaAllah aku mau donasi.. 
Pengen menyisihkan uang jajan.. <U+0001F62D><U+0001F625><U+0001F61E><U+0001F62D>",1,,
DM Instagram nya kak,1,,
Semangat lele and terus happy <U+270A><U+0001F3FB>,2,,
Logat Lele Jadi Orang Flores Keren<U+0001F525>,2,,
Wawwww. Ke manggarai <U+0001F60D> semangat terus abng leo<U+0001F5A4><U+2764>,1,,
jujur tersentuh banget.. thankyouu ko leo for treat people with ur true kindness<U+0001F97A><U+0001F90D>,2,,
"Sehat selalu le, murah rejeki dan sukses selalu<U+0001F49A>",2,,
Sehat selalu ya le semoga sukses selalu <U+0001F60A>,2,,
"akhirnya lele upload lagii<U+0001F62D>, respect sama video yg satu ini<U+0001F44F><U+0001F3FB>",2,,
"Tetap rendah hati dan selalu mengandalkan Tuhan dalam segala hal..

# Jangan lupa bersyukur dan berbagi",2,,
2ND COMMENT! SHARING THIS AND HOPE TEMAN2 DI NTT TERBANTU! GOD BLESS ALL <3,1,,
"Leo<U+2764><U+FE0F> 
Semangat le<U+0001F525>",2,,
"tertampar ga sih, mereka di sana semangat belajarnya lebih besar daripada kita yg udh difasilitasi dgn layak:"" yuk bismillah bisa bantu donasii!",2,,
"GERCEP YAYY, sukses terus ko leo<U+0001F64C> ditunggu video sama blitur",2,,
"Terima kasih lele sudah datang di daerah saya, semoga video kamu ini menginsipirasi banyak orang dan orang yang melihat ini juga tergerak pintu hatinya untuk ikut membantu. Gbu always leo dan keluarga serta orang2 yang turut berkontribusi  <U+0001F64F>",2,,
Anak Kos bersyukurlah:),,,
Akhirnya bang Leo ke NTT<U+0001F62D>... Terharu aku<U+0001F62D><U+0001F62D>,2,,
"Terima kasih untuk videonya, Leee. Semoga lebih banyak orang yang nonton video ini dan ikut membantu berdonasi.

Yok kita berdonasi!",2,,
Salam dari NTT ko Leo <U+0001F607><U+0001F64F><U+0001F3FC>,1,,
"Ko Leo tuh kalo ngomong sama orang (apalagi ke orang yang lebih tua) halus banget suaranya, enak gitu didengernyaaa <U+2728><U+2764><U+FE0F>",2,,
Semangat terus Le,2,,
Semngat terus ko leo,2,,
Kamu mau donasi tp uangmu pas-pasan? kamu punya kuota internet? JANGAN SKIP IKLAN DI VIDEO INI!!!,1,,
Yey video baruuu!!! Stay healthyyy koo!<U+2764><U+2764><U+2728>,1,,
Makin cinta deh sama  kamu le<U+0001F618><U+0001F618>,2,,
"Thanks leoo utk sharingnya! Kebetulan aku interior designer, pingin bantu jika leo butuh ide/diskusi bagaimana pemenuhan utamanya bisa disesuaikan dengan dana yg terkumpul hehe.",2,,
"Yuk guys.. Sisihkan uang kalian. Berapapun jumlahnya itu sangat berarti bt mereka. 
GBU!",2,,
Terima kasih banyak atas sumbangan sekarang kamar mandi sudah selesai ada 3kamar terimakasi untuk adik leo dan semua yang telah sumbang untuk kami,2,,
"I miss Grandma, when do you think this Pandemic will be gone? Btw aku Org Indo",1,,
"iy tau org indo , grammar nya gak pas :(",1,,
@rafaedison˜ Iyakah? Yang mana,1,,
"@ColossalTithan˜ when do u this this event (will?be?)gone , kayaknya gitu deh.",1,,
@rafaedison˜ Makasih Bro,2,,
"umm meneurut akuu udh benerr kok grammar nyaa... tp lebih baik klo kata gone jadi over, so the sentence kya gini : when do you think this event will be over. ( kata event jga lebih bagus klo di ganti jg pandemic) <U+0001F64F><U+0001F64F>",2,,
@TWINKLE GACHA˜ iya dh bener soalnya udh di fix ama dia,1,,
@TWINKLE GACHA˜ Perfect,2,,
"Indonesia bergerak maju....bahu membahu saling mendukung,utk mjdkan anak2 bangsa menjadi lebih maju.....",2,,
ASTAGA SUARA NYA MOOD BGT,1,,
Semoga konten punya banyak viewers supaya adsense vidio ini bisa membantu asrama disana. Ayo kita bantu share keteman-teman lain,2,,
"Saya juga orang Manggarai Barat.
Terima kasih kk sudah membantu.
Tuhan memberkatimu <U+0001F64F><U+2764><U+FE0F>",2,,
Big respect for you le,2,,
"Salam kenal dr subscriber dr kupang, NTT <U+0001F601><U+0001F64F><U+0001F3FB>",2,,
I'm so proud of you le <U+0001F44C>,2,,
Lele ter the best in town<U+0001F970>,2,,
Good job le!!  Bangga banget dengan apa yg kamu lakukan saat ini. Selalu bisa belajar banyak hal dari channel ini. Sehat dan sukses selalu ya le. <U+0001F49B><U+0001F49B>,2,,
Sehaf terus ya koh,2,,
"TRENDING
TRENDING
TRENDING
TRENDING",1,,
semangaat bang le !,2,,
Masya Allah semangat buat kalian!,,,
"lu keren abis bang , bnyak dapat plajaran dri konten""lu, makasih ya bang, tetap jaga kesehatan bang, yuk yg mau bersedekah bang leo ngebuka tempat untuk menambah amal tuh guys tinggal cek IG nya bang leo",2,,
"terharu banget, bener"" definisi membangun indonesia jadi lebih baik<U+0001F607><U+0001F64F><U+0001F3FB><U+2764><U+FE0F>",2,,
tetep jaga kesehatan leee <U+0001F605>,2,,
Proud of you Lele <U+2764>,2,,
"Akhirnya up lagi bang Lele. 
Pengen disapa<U+0001F62D>",2,,
Wah kampung halaman ku<U+2764><U+FE0F>,1,,
Sehat selalu lele<U+0001F493>,2,,
panjang umur buat orang2 baikk <U+0001F607>,2,,
"SERING BIKIN KAYAK GINI"" LEE <U+0001F62D><U+2764><U+FE0F>",2,,
Bang kapan ndaki gunung lagi aku tunggu kontenya <U+0001F64F>,1,,
"Seneng banget liat anak muda yang attitude nya masih baikk banget,so proud of you ka Leo. God bless you!",2,,
"Semangat terus buat video leee, Sehat terus yaaaa!!!!",2,,
GBU Lele! <U+0001F64F><U+0001F3FC><U+0001F499>,2,,
"Leleee, stay safe<U+2764>",2,,
"semoga sahabat kita disana bisa mendapatkan apa yang mereka inginkan ya:)




note:900 subscriber susah ya:((",2,,
semangaatt teruss lee<U+0001F97A><U+2764><U+FE0F><U+2764><U+FE0F>,2,,
PENYEMANGATKU KEMBALI<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>,2,,
Salam dari Timor Leste,1,,
Thank you leo ... respect sekali dgn kaya gini.. semoga bermanfaat bagi mereka . <U+0001F607>,2,,
"Semangat terus Le, semoga bermanfaat uang donasi nya, dan semoga tercukupi<U+0001F917><U+2764>",2,,
Semangat terus Lele <U+0001F64C>,2,,
"Terima kasih bang leornado 
Saya sebagai warga NTT salut sama Abang ni<U+0001F601>",2,,
Semangat koo:),2,,
Sehat selalu yah lele<U+0001F642>ikutan terharu ngeliatnya<U+0001F642>,2,,
So proud you le. Semoga bisa kesana jg <U+0001F64F>,2,,
semangatt terus lele<U+2764><U+2764>,2,,
Proud of you lee <U+2763><U+2763><U+2763>,2,,
8:04 saya sebagai warga Flores (ende) dengan ini mengakui bahwa pengucapan leo dalam logat timur/flores mendapatkan nilai 100. Lokal sekallii kamu lele <U+0001F602>,2,,
Walaupun Sekolah sederhana yang penting bisa belajar dan mencapai cita-cita :). Ayo guys walaupun kita punya uang sedikit yg penting bisa membantu orang lain. Siapa tau kita menambah hati kita yg lebih baik lagi Amin Ya Tuhan. Semangat bapa dan anak anak sekolah Nusa tenggara timur Indonesia <U+2764><U+FE0F>,2,,
Sukses terus ko lee semoga kebaikan yg ko lee dan temen temen yang lakukan di balas tuhan,2,,
Sukses terus Lee <U+0001F49E><U+0001F49E>,2,,
"""pok pok pokk pokkk""
<U+0001F923><U+0001F923>",0,,
salut sama lele<U+0001F62D><U+2764>,2,,
"Public figure yg udh 2 tahun ak follow yg ga pernah bosan dg video2 yg diupload, video Ko Leo ga pernah ngebosenin serius, videonya banyak bgt ttg motivasi dan pelajaran hidup, semua aktivitas dan kesehariannya selalu diliatin ke subscriber dan followernya, semenjak ak subscribe Ko Leo dari video nya yg ngajarin bahasa inggris yg muncul di beranda youtube ak, ak langsung tertarik buat subcribe channelnya Ko Leo karena dari sana aja udahkeliatan bahwa video yg ditampilin udh mengedukasi kita, eh lama kelamaan seiiring berjalannya waktu video yg Ko leo upload lebih banyak positive vibe nya dan ga kalah penting Ko Leo adalah orang yg selalu ak jadiin PANUTAN, kok bisa? karena setiap kontennya selalu aja ada pelajaran yg dapat dipetik walaupun kadang ngeselin dan ngawur tapi banyak banget pelajaran yg didapat dari video? nya. Ko Leo beruntung banget punya papa dan mama yg sangat care dan ngedidik Ko Leo jadi orang yg baik,ramah,rendah hati, suka menolong. I'm so proud of u Ko!!<U+0001F972> makasih udah banyak memberikan energi positif untuk subscriber dan followermu<U+0001F917> Orang baik dan peduli terhadap sekitar untuk sekarang susah banget ditemuin Ko, ak doain hidupmu penuh berkah dan selalu dimudahkan dalam setiap kegiatan yg kamu lakukan, HWAITING KO!!<U+0001F4A5><U+0001F4A5>",2,,
Semangat lele,2,,
Terharuuu lelee yang rendah hati semoga sehat selalu kakk :),2,,
Baru kali ini gercep <U+0001F602>,1,,
"Sy sering nonton vlognya Kak Leo dan bersyukur skali Kakak buat vlog ini, sempat kaget karena Kakak dtg di batu cermin, seandainya bisa bertemu Kak Leo. Terima kasih sudah membuat vlog yg menginspirasi banyak orang,
Semoga Kakak sekeluarga slalu diberkati Tuhan.. 
Salam hangat dari kami warga Labuan Bajo..",2,,
"Terharu banget. Semoga semua lancar2 terus, anak2 disana juga bisa belajar baik2 rajin2. Semua terus diberkati, disertai, dicukupkan semua kebutuhannya. Aminn <U+0001F62D><U+0001F97A><U+2764>",2,,
Terharu aku kenapa aku masih sering malas belajar setelah aku nonton vidio nya jadi semangat belajarnya biar jadi orang sukses yang mampu membantu orang lain dan mampu membuat perubahan bagi masyarakat luas terutama di bidang pendidikan. Karena pendidikan merupakan dasar untuk mencapai perubahan yang lebih baik (menurut ku sih begitu),2,,
"Konten yg positif. Sehat selalu ko!
Sehat selalu juga buat pak Damianus dan semua murid2 disana. Kalian luar biasa :)",2,,
Tersentuh banget. Dari sini belajar harus lebih banyak banyak bersyukur <U+0001F60C>,2,,
"Demi apa Leo ke flores, selamt datang di flores Leo",2,,
bangga sama kamu le<U+2764><U+FE0F>,2,,
bangga bisa kenal leo :33,2,,
Keren bg<U+2728>,1,,
"Semangat leo semoga banyak yg bisa donasi,amin........",2,,
Leo mantabssss!! <U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>,2,,
Dari sini kita bisa belajar untuk yang tinggal di kota kota harus banyak? bersyukur karena kita bisa mempunyai rumah lebih layak dan jgn lupa untuk semangat sekolah<U+0001F64F><U+0001F3FB><U+0001F917>,2,,
"Terima kasih ko Edwin,  semoga rezeki melimpah.. God bless you",2,,
"Semoga kedepannya bisa juga bantu juga donasi biar bangunannya lebih bagus lagi, aamiin <U+0001F932>",2,,
Wouww... bravo Leo... Donasi bisa mencapai 2x lipat dr target & ditutup sebelum deadline... keep doing good... bless you <U+0001F607><U+0001F607><U+0001F607>,2,,
yeyyyy koh leooooo akhirnya uploadd,1,,
"Yang aku salut sama ko Leo, dimanapun dia berada, dia selalu bisa nyesuain bahasa sama daerah itu, keren sih",2,,
"Salut kak leo
Terima kasih sudah mengingatkan kita untuk selalu bersyukur
Bangga banget pokoknya",2,,
Sehat sehat orang baik! <U+2728>,2,,
"Setelah berhari"" menunggu akhirnya<U+0001F62D>",2,,
Kenapa tidak singah di Ruteng le?,2,,
"Terimakasih Leo...
Semoga selalu di lindungi yang maha kuasa ..
Tuhan Berkati..",2,,
Respect lele <U+0001F44F><U+0001F3FC>,2,,
Terharu banget :'),2,,
"fyi aja niih teman teman, aku orang NTT yang besar di Jakarta, tahun 2018 kemarin aku sekolah dikampung 2 tahun, emang hampir semua asrama di flores pake kayu (biasa disebut rumah naja) yang kalian liat beras itu, itu masing2 anak asrama yang bawa dari rumah mereka sebagai uang asrama. yang asramanya pake gedung atau udah beton, itu biasanya asrama susteran, yang biayanya lumayan mahal dibanding yang naja. nah yang rumah naja itu emang biasanya dikususkan untuk mereka yang rumahnya agak di pedalaman dan jarak dari rumah kesekolahnya jauh, makanya mereka biasanya tinggal diasrama, atau di kos khusus anak sekolah yang pake rumah naja juga. tapi emang semangat belajar anak desa itu tinggi2...",1,,
"Makasih ya kak udah mau ngebantuin pak damius
Temen sekolahku dulu banyak banget yang tinggal disana
Semoga sehat selalu ya kak",2,,
Sering-sering buat konten beginian le .<U+0001F44D>,1,,
1 menit yang lalu. Penonton setia,1,,
BANG BOLEH KETEMU BUDI 01 GEMING DI MEDAN,1,,
Leo bikin video masak masak lagi dong wkwkw,1,,
Nampak banget ka leo nya melankolis. Aku pun ikut terharu dan senang banget liat dia. Tetap semangat ya ka leo tetap memotivasi dan jaga kesehatan. God Bless You <U+0001F917><U+0001F917><U+0001F917>,2,,
TERBAIKK LELE <U+0001F525><U+0001F44D>,2,,
"Tuhan memberkatimu le, bapak Damianus, semua anak2 sekolah disana dn kita semua <U+0001F64F>",2,,
Semangattt Leleee!!!<U+0001F917><U+0001F525>,2,,
"Thankyou Leonardo.... Saya ibu2 anak 1 yg suka nnton konten2 kamu, sy org Flores Manggarai juga, terima kasih bnyk SDH bntu saudara/i kami d Manggarai barat, bnyk berkat untukmu, Tuhan berkati",2,,
Lele logat daerahnya dapet banget si menurut aku,2,,
Yee upload juga!<U+2764><U+2764>,2,,
"Proud of ko lele, bener2 tersentuh banget liat video ini...",2,,
Makasih Leo<U+0001F64F><U+0001F3FB>,2,,
Semangat pak damianus! ^^,2,,
Respect sama lele <U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>,2,,
bangga bgt bisa nge fans sm kamu leee!!!,2,,
"Semangatt terus bang leo,kita selalu support kamuu",2,,
Flores bagian mna kak?,1,,
"Sumpah weh, dari sini gw belajar bersyukur<U+0001F62D><U+0001F44D>, Orang lain masih berjuang untuk hidup lah gw tinggal rebahan aja males?an ngeluh mulu. Ini aku jadiin motivasi<U+263A><U+2764>

Btw, Hitunglah berapa kali lele bilang ""Oke"" <U+0001F602><U+0001F44D>",2,,
"Ternyata masih ada ya org kayak Leo,udah saling membantu, pintar,ganteng (azekk<U+0001F602>),dan bisa nge hibur banyak orang,tetep jadi Leo yg kami kenal yakkk<U+0001F617><U+0001F49B>











Oh iya moga cepet dapet jodoh,biar kalau ketemuan sama ayahanda (turah) gk jadi nyamuk awokawokawok <U+0001F602><U+0001F602>",2,,
saluuut! semangat lele <3,2,,
"Baru jam 4 release videonya, donasi yg terkumpul sudah mau 50 jt <U+0001F60D><U+0001F60D>, bahkan jauh lebih banyak dari target.. blom adsense tuh....",1,,
Aku jadi terharu karena kakak-kakak yang disana memiliki semangat belajar yang tinggi walaupun tempatnya belum memiliki fasilitas yang belum memadai.Semangat belajar untuk Kakak-kakak disana<U+0001F4AA><U+0001F4AA>.Dan Sukses terus untuk Ko Leo<U+0001F604><U+0001F604>.,2,,
Logatnya lele langsung berubah ya wkwk,1,,
thanks Le... sudah menggerakkan hati kitaa untuk memberi.. semoga para donatur semakin terberkati dan makin banyak berkat. Amin,2,,
Di tunggu konten selanjutnya ka lele,1,,
Lele proud of u <U+0001F90D>,2,,
Mantap<U+0001F44D>,1,,
HEII LEE <U+0001F646><U+200D><U+2640><U+0001F646><U+200D><U+2640><U+2728>,1,,
"@jerompoline calon mentri pendidikan semoga bisa lebih mensejahterakan pendidikan d indonesi.
buat lele sukses terus....swmoga bisa jadi orang yg sukses membantu mensejahterakan pendidikan indo.",2,,
"Yang begini yang harusnya difasilitasi pemerintah.. dr segi listrik, internet, tempat tinggal, dll.. karna mereka punya semangay belajar yang tinggi..",2,,
Sikap dan ke hati2an ucapan kamu le <U+0001F62D> semoga banyak yg mencontoh yaa huhuu,2,,
"Mas Lele, itu kampung saya, cuma saya Kabupaten Manggarai",1,,
papahnya leo bangga bgt Pastinya liat anaknya kek gini,2,,
"LELE KAPAN"" UPDATE VIDEO INI YA:) SENENG BANGET LIAT VIDEO INI,JADI TERSENTUH HATI INI<U+0001F601><U+0001F601>",1,,
Semangat wkkwk,1,,
